37.5, 2.7, -2.7
38.8, -107.8, -14.0
50.1, -66.4, -20.3
60.7, -40.8, -20.2
70.0, -27.2, -11.0
78.8, -17.2, 7.4
83.1, -9.3, 25.3
76.8, -11.8, 18.8
59.6, -0.5, 4.3
44.3, 103.7, 6.9
38.1, -48.7, -5.0
42.4, -96.4, -15.0
53.9, -58.6, -21.0
63.3, -33.4, -19.8
72.4, -20.5, -6.5
80.9, -11.3, 14.2
82.9, -7.5, 28.5
72.8, -11.7, 10.7
52.7, 8.7, -1.1
37.4, 116.9, 1.5
33.1, -75.3, -10.3
40.7, -90.0, -19.1
54.2, -56.2, -22.3
65.3, -35.4, -16.8
75.2, -23.1, -1.3
82.4, -13.3, 19.3
81.1, -10.9, 26.2
67.8, -14.0, -2.0
50.0, 54.0, 9.5
40.2, 27.1, -0.4
40.0, -115.0, -11.0
49.7, -68.7, -18.3
59.7, -42.8, -21.1
68.2, -28.2, -14.8
77.0, -16.4, 2.8
83.1, -8.6, 24.2
79.4, -10.7, 25.1
63.3, -10.3, -7.3
44.6, 67.1, 7.4
35.3, -1.1, -3.1
37.2, -107.4, -14.7
